Restaurant ID,Restaurant Name,Country Code,City,Locality,Longitude,Latitude,Cuisines,Average Cost for two,Has Table booking,Has Online delivery,Is delivering now,Price range,Aggregate rating,Rating text,Votes,Primary Cuisine
6600060,Sandubas Cafí©,30,Brasí_lia,Asa Sul,-47.89016667,-15.797,"Brazilian, Cafe",30,No,No,No,1,0.0,Not rated,2,Brazilian
7305048,Quiosque Chopp Brahma,30,Rio de Janeiro,Madureira,-43.341164,-22.870413,"Bar Food, Brazilian",70,No,No,No,3,0.0,Not rated,1,Bar Food
6710645,Cantinho da Gula,30,Sí£o Paulo,Itaim Bibi,-46.67566667,-23.581,Brazilian,55,No,No,No,2,0.0,Not rated,0,Brazilian
6701419,Divino Fogí£o,30,Sí£o Paulo,"Shopping MetríÇ Santa Cruz, Vila Mariana",-46.63716667,-23.5995,"Brazilian, Mineira",65,No,No,No,3,0.0,Not rated,2,Brazilian
6703956,Super Grill,30,Sí£o Paulo,"Shopping Morumbi, Santo Amaro",-46.698574,-23.622925,Brazilian,50,No,No,No,2,0.0,Not rated,2,Brazilian
18453427,Frick's Tap,216,Davenport,Davenport,-90.59466452,41.52253634,"American, Bar Food, BBQ",25,No,No,No,2,0.0,Not rated,2,American
17793744,Los Agaves,216,Davenport,Davenport,-90.5154313,41.5709434,Mexican,25,No,No,No,2,0.0,Not rated,3,Mexican
18491935,Nosh Mahal,216,Pocatello,Pocatello,-112.44853,42.891174,"Indian, Persian",25,No,No,No,2,0.0,Not rated,1,Indian
9299,Aggarwal Sweet Corner,1,Faridabad,Badarpur Border,77.30274167,28.49629167,Mithai,100,No,No,No,1,0.0,Not rated,1,Mithai
9178,Kashyap Vaishno Dhaba,1,Faridabad,Badarpur Border,77.303542,28.4959154,North Indian,100,No,No,No,1,0.0,Not rated,3,North Indian
18477319,Total Food Court,1,Faridabad,Badarpur Border,0.0,0.0,"North Indian, Mughlai, Chinese",400,No,No,No,1,0.0,Not rated,3,North Indian
18433852,The Chaiwalas,1,Faridabad,Badkal Lake,77.3000877,28.4262842,Cafe,300,No,No,No,1,0.0,Not rated,0,Cafe
18377449,Aapki Rasoi,1,Faridabad,Charmwood Village,77.2918292,28.4990636,North Indian,200,No,No,No,1,0.0,Not rated,1,North Indian
18465871,Fusion Food Corner,1,Faridabad,Charmwood Village,0.0,0.0,"North Indian, Chinese",300,No,No,No,1,0.0,Not rated,0,North Indian
18472646,Punjabi Rasoi,1,Faridabad,Charmwood Village,77.292431,28.4923251,North Indian,400,No,No,No,1,0.0,Not rated,0,North Indian
18471268,Baskin Robbin,1,Faridabad,"Crown Interiorz Mall, Sector 35, Faridabad",77.3074479,28.469594,Desserts,300,No,No,No,1,0.0,Not rated,0,Desserts
18381244,Popcorn Fusion,1,Faridabad,"Crown Interiorz Mall, Sector 35, Faridabad",77.3074031,28.4693655,Fast Food,200,No,No,No,1,0.0,Not rated,1,Fast Food
18408041,Subway,1,Faridabad,"Crown Interiorz Mall, Sector 35, Faridabad",77.3074928,28.4700019,"American, Fast Food, Salad, Healthy Food",500,No,No,No,2,0.0,Not rated,2,American
304062,Jai Jagannath Hotel,1,Faridabad,Dayal Bagh,77.294319,28.4937692,South Indian,200,No,No,No,1,0.0,Not rated,3,South Indian
312514,Maggi Point,1,Faridabad,"Eldeco Station 1 Mall, Sector 12, Faridabad",77.3140449,28.3869029,Fast Food,200,No,No,No,1,0.0,Not rated,2,Fast Food
308961,Angaar,1,Faridabad,"Hotel Saffron Kiran, Faridabad",77.3056977,28.4719854,"North Indian, Chinese",1200,Yes,No,No,3,0.0,Not rated,0,North Indian
308963,TcozY,1,Faridabad,"Hotel Saffron Kiran, Faridabad",77.3066401,28.4722089,Cafe,1500,No,No,No,3,0.0,Not rated,0,Cafe
308962,The Retriever,1,Faridabad,"Hotel Saffron Kiran, Faridabad",77.3062507,28.4723428,"North Indian, Mughlai, Chinese",1500,Yes,No,No,3,0.0,Not rated,0,North Indian
8169,Bangali Sweets & Restaurant,1,Faridabad,Indraprastha Colony,77.3153578,28.4534629,Mithai,100,No,No,No,1,0.0,Not rated,2,Mithai
309368,Silver,1,Faridabad,K Hotel,77.316429,28.446715,"North Indian, Chinese, Continental",1500,Yes,No,No,3,0.0,Not rated,3,North Indian
18472429,Chill 'N Grill,1,Faridabad,NIT,77.2900667,28.3954463,North Indian,300,No,No,No,1,0.0,Not rated,0,North Indian
18472418,Punjabi Restaurant,1,Faridabad,NIT,77.2874809,28.3939512,"North Indian, Mughlai",500,No,No,No,2,0.0,Not rated,0,North Indian
18472426,Standard Chicken Point,1,Faridabad,NIT,77.2875524,28.3940171,Mughlai,500,No,No,No,2,0.0,Not rated,0,Mughlai
18450934,The Grillz & Gravy,1,Faridabad,NIT,77.2922781,28.3982684,"North Indian, Chinese",400,No,No,No,1,0.0,Not rated,0,North Indian
18471296,Little Cafe,1,Faridabad,"Parsavnath City Mall, Sector 12, Faridabad",77.3145373,28.3836738,"Fast Food, Beverages",300,No,No,No,1,0.0,Not rated,0,Fast Food
18434243,Giani's,1,Faridabad,Sector 10,77.3270132,28.3692291,"Ice Cream, Desserts",400,No,No,No,1,0.0,Not rated,0,Ice Cream
18273628,Invitation,1,Faridabad,Sector 10,0.0,0.0,North Indian,700,No,No,No,2,0.0,Not rated,3,North Indian
18471262,New Dilight,1,Faridabad,Sector 10,77.3295018,28.3730138,"North Indian, Mughlai, Chinese",500,No,No,No,2,0.0,Not rated,0,North Indian
18427216,City Dhaba,1,Faridabad,Sector 12,77.3144456,28.3811924,"North Indian, Chinese",550,No,No,No,2,0.0,Not rated,0,North Indian
18433315,Garam Masala,1,Faridabad,Sector 12,0.0,0.0,"North Indian, Chinese",400,No,No,No,1,0.0,Not rated,0,North Indian
8266,Mittal Fast Food,1,Faridabad,Sector 12,77.32425,28.38471389,Fast Food,100,No,No,No,1,0.0,Not rated,0,Fast Food
18466931,Apna Restaurant,1,Faridabad,Sector 16,77.3190262,28.4105451,North Indian,400,No,No,No,1,0.0,Not rated,0,North Indian
18466420,Chaudhary Chaap & Chinese,1,Faridabad,Sector 16,77.3187017,28.4106649,"Chinese, North Indian",300,No,No,No,1,0.0,Not rated,0,Chinese
18464607,Chings Chinese,1,Faridabad,Sector 16,77.3200132,28.4118307,Chinese,300,No,No,No,1,0.0,Not rated,0,Chinese
18464631,Food On Wheels,1,Faridabad,Sector 16,77.3202824,28.4120355,Chinese,300,No,No,No,1,0.0,Not rated,0,Chinese
301170,Gulshan Hotel,1,Faridabad,Sector 16,77.3203273,28.4104693,North Indian,250,No,No,No,1,0.0,Not rated,2,North Indian
18466939,Maa Kali Foods,1,Faridabad,Sector 16,77.3196991,28.4104999,Chinese,250,No,No,No,1,0.0,Not rated,0,Chinese
18380180,The Street Kitchen,1,Faridabad,Sector 16,77.3185772,28.4107084,"North Indian, Chinese",400,No,No,No,1,0.0,Not rated,0,North Indian
18466407,United Kitchen,1,Faridabad,Sector 16,77.3189708,28.4120254,Fast Food,500,No,No,No,2,0.0,Not rated,0,Fast Food
18472625,Tmos Cafe Corner,1,Faridabad,Sector 17,77.326227,28.409801,Cafe,700,Yes,Yes,No,2,0.0,Not rated,1,Cafe
18439547,Anand Dhaba,1,Faridabad,Sector 21,77.2963379,28.4298355,North Indian,200,No,No,No,1,0.0,Not rated,1,North Indian
18241538,Bikaneri Sweets & Restaurant,1,Faridabad,Sector 21,0.0,0.0,"Mithai, North Indian",250,No,No,No,1,0.0,Not rated,0,Mithai
18452730,Delicieux Ice Cream Rolls,1,Faridabad,Sector 21,77.2969354,28.4300562,"Ice Cream, Desserts, Beverages",400,No,No,No,1,0.0,Not rated,1,Ice Cream
18317486,Flying Tandoor,1,Faridabad,Sector 21,77.291919,28.4221037,"North Indian, Fast Food",300,No,No,No,1,0.0,Not rated,3,North Indian
18432933,Food Station,1,Faridabad,Sector 21,0.0,0.0,"North Indian, Mughlai, Chinese",400,No,No,No,1,0.0,Not rated,0,North Indian
18452267,Grub Hub,1,Faridabad,Sector 21,77.2964494,28.4296999,Asian,500,No,No,No,2,0.0,Not rated,1,Asian
18466980,Punjabi Chulha,1,Faridabad,Sector 21,77.2965369,28.4298396,North Indian,300,No,No,No,1,0.0,Not rated,3,North Indian
18469937,Purani Dilli Da Swad,1,Faridabad,Sector 21,77.2966226,28.4301909,"Street Food, Fast Food",100,No,No,No,1,0.0,Not rated,2,Street Food
18466937,The BBQ Garden,1,Faridabad,Sector 21,0.0,0.0,"North Indian, Seafood",700,Yes,No,No,2,0.0,Not rated,0,North Indian
18433879,The Chaiwalas,1,Faridabad,Sector 21,77.3002223,28.4263417,Cafe,300,No,No,No,1,0.0,Not rated,0,Cafe
18458540,Hungry Head,1,Faridabad,Sector 28,77.3150688,28.4353375,"Street Food, Fast Food",200,No,No,No,1,0.0,Not rated,0,Street Food
18482753,Tandoori Hut,1,Faridabad,Sector 28,0.0,0.0,North Indian,400,No,No,No,1,0.0,Not rated,0,North Indian
18463990,Tamasha In Tafree,1,Faridabad,Sector 29,77.3212535,28.4334249,Cafe,600,No,No,No,2,0.0,Not rated,3,Cafe
18353030,Oh My!,1,Faridabad,Sector 30,0.0,0.0,"Chinese, Fast Food",300,No,No,No,1,0.0,Not rated,2,Chinese
309654,Ahata,1,Faridabad,Sector 31,77.31723889,28.44589444,North Indian,500,No,No,No,2,0.0,Not rated,1,North Indian
18480389,Fritrolla,1,Faridabad,Sector 31,0.0,0.0,Desserts,300,No,No,No,1,0.0,Not rated,0,Desserts
18446428,KitchenYard,1,Faridabad,Sector 31,0.0,0.0,North Indian,300,No,No,No,1,0.0,Not rated,0,North Indian
4462,Meghansh Bakery,1,Faridabad,Sector 31,77.3170515,28.4466361,"Bakery, Desserts",200,No,No,No,1,0.0,Not rated,2,Bakery
18469962,Oh My !,1,Faridabad,Sector 31,77.3159508,28.4549967,"North Indian, Chinese",300,No,No,No,1,0.0,Not rated,1,North Indian
18380284,The Dark Hour - Kitchen,1,Faridabad,Sector 31,0.0,0.0,Italian,350,No,No,No,1,0.0,Not rated,1,Italian
18472443,Bikaner Misthan Bhandar,1,Faridabad,Sector 35,77.3108138,28.471302,"Mithai, Street Food, Fast Food",150,No,No,No,1,0.0,Not rated,0,Mithai
18456807,King's Kitchen,1,Faridabad,Sector 35,77.3108138,28.471302,"North Indian, Mughlai, Chinese",400,No,No,No,1,0.0,Not rated,1,North Indian
18471284,Muradabadi Chicken Biryani Corner,1,Faridabad,Sector 35,77.3060306,28.4749127,Mughlai,500,No,No,No,2,0.0,Not rated,0,Mughlai
18471328,The Black Kettle,1,Faridabad,Sector 35,77.3105616,28.4711559,"Fast Food, Beverages",100,No,No,No,1,0.0,Not rated,0,Fast Food
9233,Aggarwal Sweets And Caterers,1,Faridabad,Sector 37,77.3066403,28.48420819,"Mithai, Street Food",100,No,No,No,1,0.0,Not rated,1,Mithai
18471246,Biryani Bot,1,Faridabad,Sector 37,77.311746,28.4805778,Biryani,200,No,No,No,1,0.0,Not rated,0,Biryani
18446082,Cafí© Kitchen,1,Faridabad,Sector 37,77.3114869,28.4808293,"North Indian, Chinese",300,No,No,No,1,0.0,Not rated,0,North Indian
18396398,Evergreen Sweets & Restaurant,1,Faridabad,Sector 37,77.3106046,28.4803991,"North Indian, South Indian, Chinese, Fast Food",400,No,No,No,1,0.0,Not rated,2,North Indian
18471244,Magic Spice Wok,1,Faridabad,Sector 37,77.3113363,28.4806939,"Chinese, Fast Food",300,No,No,No,1,0.0,Not rated,0,Chinese
18367078,Magical Momos,1,Faridabad,Sector 37,77.3104099,28.4806379,Chinese,350,No,No,No,1,0.0,Not rated,0,Chinese
18469976,Sam's Bake Shop,1,Faridabad,Sector 37,77.3103201,28.4808985,"Bakery, Fast Food",200,No,No,No,1,0.0,Not rated,1,Bakery
18381643,Shri Bikaner Misthan Bhandar,1,Faridabad,Sector 37,77.3092797,28.4773757,"Mithai, Street Food",100,No,No,No,1,0.0,Not rated,0,Mithai
18471327,Tasty Dhaba Family Restaurant,1,Faridabad,Sector 37,77.3060567,28.474531,"North Indian, Mughlai",400,No,No,No,1,0.0,Not rated,0,North Indian
18469936,U & I,1,Faridabad,Sector 37,77.3056065,28.4807304,"North Indian, Chinese",500,No,No,No,2,0.0,Not rated,0,North Indian
313089,Evergreen Tandoori Night,1,Faridabad,Sector 41,77.28919957,28.46191014,North Indian,550,No,No,No,2,0.0,Not rated,3,North Indian
18349251,Prelibato,1,Faridabad,Sector 41,0.0,0.0,"Italian, North Indian",400,No,No,No,1,0.0,Not rated,0,Italian
18344478,Aravali Owls,1,Faridabad,Sector 42,0.0,0.0,"North Indian, Chinese",600,No,No,No,2,0.0,Not rated,0,North Indian
18089775,Chicken Inn Family Meat Shop,1,Faridabad,Sector 42,77.30027778,28.46118611,"Raw Meats, Fast Food",300,No,No,No,1,0.0,Not rated,1,Raw Meats
18424179,Mother's Kitchen,1,Faridabad,Sector 42,0.0,0.0,"North Indian, Chinese",300,No,No,No,1,0.0,Not rated,0,North Indian
18277177,Aggarwal's Bikaner Mishthan Bhandar,1,Faridabad,Sector 43,77.2847783,28.46117,"Mithai, South Indian, Chinese, Street Food",100,No,No,No,1,0.0,Not rated,0,Mithai
18345740,Aravalli Owls,1,Faridabad,Sector 43,0.0,0.0,"North Indian, Chinese, Mughlai",400,No,No,No,1,0.0,Not rated,0,North Indian
18472651,Chatny Delight,1,Faridabad,Sector 43,77.2988233,28.4621065,Fast Food,100,No,No,No,1,0.0,Not rated,1,Fast Food
313076,Harmann Restaurant,1,Faridabad,Sector 43,77.29056667,28.46681111,"North Indian, South Indian, Chinese",350,No,No,No,1,0.0,Not rated,3,North Indian
18380159,Kulcha King,1,Faridabad,Sector 43,77.2845595,28.4601453,North Indian,100,No,No,No,1,0.0,Not rated,2,North Indian
18377907,Royal Bakers,1,Faridabad,Sector 43,77.2999207,28.4614258,Bakery,200,No,No,No,1,0.0,Not rated,0,Bakery
18292444,Touch of Spice,1,Faridabad,Sector 43,77.29738433,28.46210674,"Chinese, North Indian",600,No,No,No,2,0.0,Not rated,0,Chinese
18419654,Sri Meenakshi South Indian Food,1,Faridabad,Sector 46,77.2990075,28.4375707,South Indian,250,No,No,No,1,0.0,Not rated,1,South Indian
18471285,Sardar A Pure Meat Shop,1,Faridabad,Sector 49,77.2670505,28.3959758,"Raw Meats, Fast Food, North Indian",150,No,No,No,1,0.0,Not rated,0,Raw Meats
18382355,Pizza Express,1,Faridabad,Sector 7,77.3262953,28.3630576,"Pizza, Fast Food",400,No,No,No,1,0.0,Not rated,1,Pizza
312688,Bake Your Dreamz,1,Faridabad,Sector 9,0.0,0.0,"Bakery, Desserts",800,No,No,No,2,0.0,Not rated,3,Bakery
18381668,Green Chilly Chinese Food,1,Faridabad,Sector 9,77.3328117,28.3764571,Chinese,300,No,No,No,1,0.0,Not rated,2,Chinese
18287397,Mom's Kitchen,1,Faridabad,Sector 9,77.3299747,28.3763294,North Indian,450,No,No,No,1,0.0,Not rated,1,North Indian
18294253,The Baking Treats N More,1,Faridabad,Sector 9,0.0,0.0,Bakery,300,No,No,No,1,0.0,Not rated,0,Bakery
